Field	RAJ2000	DEJ2000	ID	Period	V-I	F160W	e_F160W	Offset	Bias	IMrms	[O/H]	Flag	OCat
n4258	184.7280	+47.31970	  17151	 22.350	 1.65	22.23	 0.35	 0.50	 0.57	137.00	 8.99	         	  1
n4258	184.7240	+47.31620	  23741	 22.680	 1.43	22.98	 0.56	 2.51	 0.51	152.00	 8.99	         	  1
n4258	184.7260	+47.31460	  14643	 22.040	 1.92	23.66	 0.44	 2.01	 0.92	 19.80	 8.99	rej      	  1
n4258	184.7270	+47.31760	  17357	 22.450	 1.21	22.11	 0.36	 1.62	 0.60	177.00	 8.99	         	  7
n4258	184.7190	+47.31410	  34408	 22.420	 0.85	22.11	 0.55	 2.65	 0.68	273.00	 8.97	         	  2
n4258	184.7280	+47.31640	  12898	 22.820	 0.94	23.19	 0.56	 8.13	 0.78	270.00	 8.99	         	  3
n4258	184.7260	+47.31340	  14775	 21.610	 0.72	22.44	 0.39	 0.69	 1.11	113.00	 8.99	         	  1
n4258	184.7310	+47.31640	   1824	 20.100	 0.94	22.96	 0.45	 0.81	 0.77	 59.10	 9.00	         	  0
n4258	184.7290	+47.31690	   8052	 20.760	 0.90	22.05	 0.53	 2.71	 0.81	178.00	 9.00	rej      	  1
n4258	184.7280	+47.31330	   6616	 16.990	 0.93	23.16	 0.49	 3.34	 1.17	239.00	 9.00	         	  1
n4258	184.7190	+47.31890	  40434	 16.430	 1.22	22.66	 0.48	 1.17	 0.82	 85.40	 8.98	         	  1
n4258	184.7160	+47.31090	  38988	 17.530	 0.85	23.34	 0.67	 3.80	 1.00	270.00	 8.96	         	  1
n4258	184.7280	+47.31730	 158057	 16.680	 1.22	23.95	 0.62	 1.11	 0.98	 80.00	 8.99	rej      	  0
n4258	184.7280	+47.32230	  19414	 16.380	 0.90	23.27	 0.44	 2.88	 0.68	145.00	 8.98	         	  2
n4258	184.7140	+47.31340	  49332	 16.000	 0.71	23.33	 0.49	 2.24	 0.80	104.00	 8.96	         	  2
n4258	184.7280	+47.31610	  11066	 15.910	 1.21	23.70	 0.55	 6.82	 1.15	113.00	 9.00	         	  4
n4258	184.7110	+47.31490	  60978	 15.210	 1.17	24.55	 0.67	 1.67	 0.80	146.00	 8.95	rej      	  1
n4258	184.7230	+47.31920	  29222	 14.580	 0.96	22.86	 0.60	 7.09	 0.75	320.00	 8.98	         	  0
n4258	184.7270	+47.31760	  16299	 12.280	 1.28	24.49	 0.72	 3.35	 1.30	183.00	 8.99	rej      	  7
n4258	184.7120	+47.30970	  51416	 11.090	 0.77	23.45	 0.56	 2.45	 1.07	122.00	 8.94	         	  2
n4258	184.7110	+47.31180	  57246	 10.900	 0.89	23.47	 0.45	 0.13	 1.09	 80.50	 8.94	         	  2
n4258	184.7280	+47.32280	  20566	 10.360	 1.04	22.52	 0.56	 0.88	 1.10	  9.65	 8.98	rej      	  0
n4258	184.7250	+47.32060	  25811	 10.300	 0.89	23.62	 0.61	 2.54	 1.25	167.00	 8.98	         	  2
n4258	184.7260	+47.32180	  25760	  9.979	 0.92	24.38	 0.54	 1.95	 1.46	122.00	 8.98	         	  3
n4258	184.7090	+47.31420	  64217	 10.060	 0.99	23.40	 0.51	 3.27	 0.95	120.00	 8.94	         	  0
n4258	184.7030	+47.32620	  89807	 98.420	 1.26	21.11	 0.11	 0.20	 0.03	114.00	 8.93	rej      	  0
n4258	184.7050	+47.32090	  80885	 65.230	 1.13	20.75	 0.15	 5.40	 0.04	251.00	 8.93	rej      	  1
n4258	184.7370	+47.33540	  10849	 51.510	 1.34	21.63	 0.29	 0.28	 0.20	 98.10	 8.92	         	  0
n4258	184.7190	+47.34890	  77289	 46.390	 1.53	21.69	 0.18	 0.63	 0.11	 14.70	 8.90	         	  0
n4258	184.7390	+47.33400	   1625	 45.430	 1.03	21.19	 0.29	 0.49	 0.16	 95.50	 8.92	         	  1
n4258	184.7430	+47.34240	   2686	 44.050	 1.06	21.78	 0.31	 0.22	 0.10	 85.20	 8.88	         	  2
n4258	184.7060	+47.32090	  77610	 42.820	 1.00	21.58	 0.23	 0.22	 0.16	211.00	 8.94	         	  2
n4258	184.7310	+47.33830	  32759	 42.310	 0.94	21.78	 0.23	 0.68	 0.31	188.00	 8.92	         	  2
n4258	184.7390	+47.33240	    475	 41.880	 0.97	21.80	 0.34	 0.87	 0.17	 75.10	 8.93	         	  1
n4258	184.7130	+47.32260	  62769	 33.020	 0.77	21.80	 0.25	 0.67	 0.18	192.00	 8.96	         	  2
n4258	184.7080	+47.34560	  97135	 31.780	 1.20	22.85	 0.28	 1.22	 0.10	 27.50	 8.92	         	  2
n4258	184.7090	+47.35120	  99756	 29.050	 1.04	22.82	 0.27	 0.64	 0.21	147.00	 8.90	         	  4
n4258	184.6960	+47.33310	 106960	 28.260	 0.97	22.81	 0.27	 0.72	 0.13	 27.60	 8.92	         	  2
n4258	184.7030	+47.31950	  83857	 28.130	 0.76	21.51	 0.30	 1.48	 0.19	141.00	 8.93	rej      	  4
n4258	184.7240	+47.32620	  37683	 26.180	 1.41	22.82	 0.31	 0.56	 0.48	119.00	 8.97	         	  1
n4258	184.7010	+47.33800	 103070	 24.860	 1.12	22.91	 0.45	 4.15	 0.21	 53.70	 8.92	         	  2
n4258	184.7330	+47.34250	  33002	 22.480	 0.75	23.72	 0.56	 4.53	 0.44	182.00	 8.90	rej      	  0
n4258	184.6980	+47.33340	 104131	 22.890	 0.87	22.34	 0.25	 2.90	 0.20	 41.50	 8.92	         	  3
n4258	184.6990	+47.33690	 105183	 23.000	 1.11	22.50	 0.26	 0.81	 0.22	 36.20	 8.92	         	  3
n4258	184.7340	+47.33900	  24365	 22.380	 0.92	22.83	 0.59	 3.91	 0.52	165.00	 8.91	         	  2
n4258	184.7120	+47.35150	  95003	 20.570	 1.20	23.15	 0.29	 4.42	 0.36	 74.80	 8.90	         	  3
n4258	184.7030	+47.33140	  93585	 18.190	 0.97	22.98	 0.41	 1.94	 0.42	 14.20	 8.93	         	  3
n4258	184.7060	+47.34570	  99411	 17.020	 0.98	24.05	 0.50	 2.02	 0.35	  9.51	 8.92	rej      	  2
n4258	184.7090	+47.32420	  75254	 16.520	 0.98	22.85	 0.39	 2.94	 0.38	 15.60	 8.95	         	  4
n4258	184.7100	+47.34750	  94632	 16.030	 1.14	22.22	 0.44	 0.89	 0.39	141.00	 8.91	rej      	  2
n4258	184.7270	+47.34520	  54398	 15.730	 1.06	22.74	 0.53	 0.50	 0.81	109.00	 8.91	         	  2
n4258	184.6910	+47.34610	 122858	 14.280	 0.78	23.08	 0.33	 1.10	 0.25	 40.10	 8.90	         	  1
n4258	184.7010	+47.35070	 111064	 14.590	 0.98	22.51	 0.33	 0.92	 0.35	 42.70	 8.90	rej      	  2
n4258	184.7360	+47.35750	  43585	 14.800	 0.94	23.36	 0.31	 0.60	 0.09	 72.10	 8.84	         	  1
n4258	184.7030	+47.32570	  90355	 14.500	 0.92	23.57	 0.49	 3.05	 0.24	 44.10	 8.93	         	  0
n4258	184.7100	+47.35380	  99783	 14.310	 0.80	23.19	 0.67	 1.77	 0.65	110.00	 8.89	         	  3
n4258	184.7250	+47.34470	  58469	 13.080	 1.03	24.42	 0.84	 2.55	 0.88	256.00	 8.91	rej      	  1
n4258	184.7140	+47.32210	  59576	 12.650	 1.10	23.91	 0.61	 3.81	 0.72	 55.40	 8.96	         	  2
n4258	184.7050	+47.32910	  89618	 12.470	 1.01	23.37	 0.38	 0.41	 0.55	 77.10	 8.94	         	  2
n4258	184.7090	+47.32440	  74725	 11.990	 0.80	23.19	 0.43	 5.67	 0.67	 71.20	 8.95	         	  4
n4258	184.6870	+47.34670	 126765	 11.640	 1.02	24.97	 0.56	 4.73	 0.28	 11.20	 8.89	rej      	  1
n4258	184.7080	+47.35000	 100093	 12.020	 0.72	22.65	 0.58	 6.25	 0.46	232.00	 8.91	rej      	  2
n4258	184.7380	+47.33650	   7952	 11.920	 0.90	23.46	 0.53	 3.27	 1.04	142.00	 8.91	         	  0
n4258	184.7010	+47.34930	 110213	 11.600	 1.19	23.15	 0.46	 0.47	 0.53	 98.10	 8.90	         	  3
n4258	184.7090	+47.33290	  84547	 11.300	 0.81	23.52	 0.36	 1.47	 0.79	 86.20	 8.94	         	  1
n4258	184.6980	+47.34220	 109630	 10.930	 0.82	23.91	 0.49	 1.97	 0.66	 83.90	 8.91	         	  1
n4258	184.7110	+47.34990	  95403	 11.580	 1.03	24.27	 0.62	 4.36	 0.61	 47.70	 8.91	         	  2
n4258	184.7030	+47.32790	  91129	 11.160	 1.00	23.50	 0.35	 0.41	 0.55	 25.80	 8.93	         	  2
n4258	184.7050	+47.33180	  91209	 10.800	 0.88	23.60	 0.48	 0.76	 0.67	  2.96	 8.94	         	  2
n4258	184.7090	+47.34230	  91907	 10.510	 1.20	22.71	 0.42	 0.55	 0.73	 46.00	 8.93	rej      	  0
n4258	184.7100	+47.34830	  94562	 10.200	 1.03	23.90	 0.41	 3.58	 0.91	 74.40	 8.91	         	  0
n4258	184.7060	+47.34140	  97498	  9.987	 0.98	24.22	 0.62	 3.80	 0.73	 64.60	 8.93	         	  0
n4258	184.7060	+47.34970	 104039	  9.770	 1.17	23.20	 0.56	 2.20	 0.63	 37.50	 8.91	         	  0
n4258	184.8580	+47.20180	  10401	  5.297	 0.75	24.97	 0.67	 2.73	 1.45	 18.70	 8.70	         	  1
n4258	184.8710	+47.20670	   5387	  6.487	 0.71	22.65	 0.56	 0.28	 1.15	245.00	 8.68	rej      	  1
n4258	184.8530	+47.18540	   9483	  6.803	 0.75	25.14	 0.72	 4.32	 1.10	 62.80	 8.69	rej      	  1
n4258	184.8500	+47.19250	  11990	  8.024	 0.65	23.83	 0.65	 5.28	 0.83	 87.00	 8.71	         	  2
n4258	184.8720	+47.18200	   2134	  8.137	 0.72	24.73	 0.60	 4.98	 1.25	 27.20	 8.66	         	  1
n4258	184.8520	+47.20560	  13262	  8.288	 0.92	24.61	 0.64	 2.60	 0.75	 95.30	 8.72	         	  1
n4258	184.8590	+47.20060	   9786	  8.920	 0.72	24.23	 0.59	 2.09	 0.87	 91.60	 8.70	         	  2
n4258	184.7030	+47.31610	  81614	 20.310	 1.01	21.94	 0.30	 0.18	 0.29	118.00	 8.92	rej      	  1
n4258	184.7050	+47.30860	  67208	 18.290	 1.09	22.49	 0.37	 1.34	 0.28	106.00	 8.92	         	  1
n4258	184.6900	+47.33260	 116159	 21.870	 0.89	22.79	 0.30	 1.40	 0.12	 42.40	 8.90	         	  2
n4258	184.6490	+47.31960	 143829	 18.280	 1.25	23.13	 0.13	 0.10	 0.03	 17.50	 8.73	         	  1
n4258	184.6870	+47.33470	 121078	 18.420	 0.97	22.94	 0.31	 0.69	 0.19	106.00	 8.89	         	  2
n4258	184.6680	+47.33600	 138294	 15.810	 0.93	22.95	 0.20	 0.18	 0.12	  5.28	 8.83	         	  2
n4258	184.6920	+47.32240	 106997	 15.290	 0.84	23.29	 0.39	 0.88	 0.25	 59.70	 8.89	         	  1
n4258	184.6530	+47.33020	 144134	 15.610	 0.89	23.34	 0.16	 0.05	 0.05	 43.40	 8.77	         	  1
n4258	184.6910	+47.32150	 107947	 14.670	 1.03	23.60	 0.30	 0.41	 0.32	  2.21	 8.89	         	  0
n4258	184.6890	+47.33550	 118961	 12.820	 1.26	22.30	 0.26	 0.31	 0.31	 34.20	 8.89	rej      	  1
n4258	184.6950	+47.31620	  95987	 11.260	 1.28	24.91	 0.73	 4.07	 0.34	 39.30	 8.89	rej      	  1
n4258	184.6550	+47.32230	 141685	 10.990	 0.83	23.72	 0.21	 2.46	 0.11	 12.70	 8.76	         	  0
n4258	184.6510	+47.33190	 145186	 10.690	 0.88	23.36	 0.23	 0.27	 0.10	  3.72	 8.77	         	  0
n4258	184.8270	+47.19220	  26262	  5.007	 0.77	23.86	 0.28	 3.54	 0.46	 88.00	 8.73	rej      	  1
n4258	184.8070	+47.18790	  40543	  5.372	 0.80	25.43	 0.73	 2.02	 0.39	 21.40	 8.72	rej      	  1
n4258	184.8120	+47.17250	  31191	  5.834	 0.70	22.71	 0.34	 0.10	 0.17	 73.30	 8.67	rej      	  1
n4258	184.8230	+47.19400	  29843	  5.864	 0.72	24.13	 0.40	 5.54	 0.48	 53.30	 8.73	         	  1
n4258	184.8370	+47.19500	  20639	  6.735	 1.03	24.57	 0.53	 0.69	 0.63	  1.61	 8.73	         	  1
n4258	184.8300	+47.19660	  25502	  7.538	 0.92	23.72	 0.54	 1.52	 0.45	 76.90	 8.73	         	  1
n4258	184.8330	+47.19730	  24134	  8.937	 0.87	24.87	 0.52	 2.54	 0.33	 19.70	 8.73	rej      	  1
n4258	184.8390	+47.17080	  12705	  9.942	 0.84	24.37	 0.59	 5.65	 0.38	 25.40	 8.67	         	  2
n4258	184.8360	+47.17430	  14709	 10.970	 0.84	22.58	 0.26	 0.44	 0.17	 44.10	 8.68	rej      	  2
n4258	184.8390	+47.19480	  19312	 13.550	 0.82	23.98	 0.47	 5.13	 0.20	 88.20	 8.72	         	  2
n4258	184.8350	+47.17380	  15276	 16.430	 0.87	22.34	 0.20	 3.56	 0.17	 61.60	 8.68	rej      	  2
n4258	184.6990	+47.35610	 118782	 25.560	 0.89	22.43	 0.22	 0.63	 0.17	 42.20	 8.89	         	  2
n4258	184.6980	+47.35930	 121312	 17.850	 1.02	24.78	 0.32	 0.47	 0.16	  3.48	 8.88	rej      	  1
n4258	184.6990	+47.35500	 117710	 14.300	 0.83	24.32	 0.49	 1.46	 0.30	 48.90	 8.89	rej      	  2
n4258	184.7140	+47.35680	  95711	 10.940	 1.12	23.80	 0.61	 1.20	 0.40	 33.50	 8.88	         	  1
n4258	184.8490	+47.21110	  17005	  5.739	 0.92	24.97	 0.57	 5.57	 0.94	 41.40	 8.73	         	  1
n4258	184.8420	+47.21900	  23710	  5.920	 0.77	25.75	 0.31	 2.81	 1.21	 33.10	 8.75	rej      	  1
n4258	184.8560	+47.21200	  12774	  6.189	 0.68	22.91	 0.51	 0.16	 0.79	 68.00	 8.71	rej      	  1
n4258	184.7280	+47.36340	 999999	 92.000	 1.00	20.50	 0.10	 0.38	 0.02	256.00	 8.84	rej      	  1
n4258	184.8110	+47.20350	  42010	  8.961	 0.95	24.41	 0.32	 1.28	 0.17	 20.00	 8.76	         	  1
n4258	184.7950	+47.20220	  28881	 86.150	 1.80	19.94	 0.10	 0.34	 0.00	 50.40	 8.75	rej      	  0
n4258	184.8000	+47.20730	  28076	 31.170	 1.06	22.51	 0.11	 0.31	 0.00	 27.30	 8.77	         	  1
n4258	184.8000	+47.20620	  27963	 21.260	 1.27	22.76	 0.15	 0.00	 0.06	 18.40	 8.77	         	  1
n4258	184.8000	+47.20730	 220887	 31.290	 1.26	22.52	 0.12	 0.31	 0.01	 27.30	 8.77	         	  1
n4258	184.8000	+47.20620	 220789	 21.290	 1.04	22.73	 0.14	 0.00	 0.03	 18.40	 8.77	         	  1
n4258	184.8420	+47.21070	  21853	  6.063	 0.96	25.86	 0.35	 2.93	 0.17	 15.70	 8.74	rej      	  1
n4258	184.8520	+47.21380	  15227	  7.140	 0.95	23.78	 0.32	 1.41	 0.13	 42.30	 8.72	         	  1
n4258	184.8400	+47.21340	  24025	  9.253	 0.84	22.82	 0.25	 1.03	 0.05	 15.90	 8.75	rej      	  1
n4258	184.8360	+47.22010	  28606	 53.880	 1.03	23.34	 0.10	 0.09	 0.01	  7.13	 8.76	rej      	  2
n4258	184.8360	+47.22010	  19756	 48.790	 1.22	21.85	 0.10	 0.00	 0.00	  9.52	 8.76	         	  2
n4258	184.8450	+47.21270	  16719	109.300	 1.25	21.02	 0.10	 0.00	 0.00	 51.80	 8.74	rej      	  0
n4258	184.8580	+47.22970	   8073	 32.290	 1.30	22.20	 0.10	 0.00	 0.00	  5.61	 8.71	         	  0
n4258	184.8570	+47.22980	 307758	 32.400	 1.02	22.20	 0.10	 0.00	 0.00	  5.61	 8.71	         	  1
n4258	184.6580	+47.34450	 144755	 12.050	 1.16	23.06	 0.20	 0.46	 0.13	 45.50	 8.81	         	  1
n4258	184.8270	+47.20180	  29163	  6.739	 0.80	24.48	 0.57	 2.86	 0.38	 42.10	 8.75	         	  1
n4258	184.8190	+47.19870	  34729	 14.920	 1.12	23.12	 0.50	 6.29	 0.00	108.00	 8.75	         	  2
n4258	184.6960	+47.31030	  89375	 12.380	 0.92	22.79	 0.45	 1.66	 0.42	 78.80	 8.89	         	  1
n4258	184.6970	+47.31080	 246695	 11.200	 0.91	22.97	 0.40	 1.17	 0.49	152.00	 8.89	         	  0
n4258	184.8330	+47.24910	 312665	 39.090	 0.80	23.10	 0.11	 0.47	 0.01	 15.10	 8.78	rej      	  1
